Title;Authors;Introduced open-source SZZ implementation name;Open-source SZZ implementation used;Introduced new benchmark dataset;Link to the benchmark dataset used
Classifying software changes: Clean or buggy?;S Kim, EJ Whitehead, Y Zhang;;;;
A large-scale empirical study of just-in-time quality assurance;Y Kamei, E Shihab, B Adams;ASZZ;;;
Automatic identification of bug-introducing changes;S Kim, T Zimmermann;Annotation graph SZZ;;;
Reducing features to improve code change-based bug prediction;S Shivaji, EJ Whitehead, R Akella;;;;
Revisiting common bug prediction findings using effort-aware models;Y Kamei, S Matsumoto, A Monden;;;;
Personalized defect prediction;L Tan, S Kim;;;;
How long did it take to fix bugs?;S Kim, EJ Whitehead Jr;;;;
Online defect prediction for imbalanced data;L Tan, S Dara;;;;
On the naturalness of buggy code;B Ray, V Hellendoorn, Z Tu;;;;
When does a refactoring induce bugs? an empirical study;G Bavota, A De Lucia;;;;
Do time of day and developer experience affect commit bugginess?;J Eyolfson, L Tan, P Lam;;;;
Bug prediction based on fine-grained module histories;H Hata, O Mizuno;;;;
Studying just-in-time defect prediction using cross-project models;Y Kamei, S McIntosh;;;;
BugCache for inspections: hit or miss?;F Rahman, A Hindle, E Barr;;;;
An empirical study of just-in-time defect prediction using cross-project models;Y Kamei, S McIntosh;;;;
Comparing static bug finders and statistical prediction;F Rahman, ET Barr, P Devanbu;;;;
Effort-aware just-in-time defect prediction: simple unsupervised models could be better than supervised models;Y Yang;;;;
Szz revisited: verifying when changes induce fixes;J Spacco;;;;
Locus: Locating bugs from software changes;M Wen, R Wu, SC Cheung;Locus;https://github.com/justinwm/Locus/;;https://github.com/justinwm/InduceBenchmark
A framework for evaluating the results of the szz approach for identifying bug-introducing changes;DA Da Costa, S McIntosh, W Shang;B-SZZ, AG-SZZ, MA-SZZ, R-SZZ, L-SZZ;https://github.com/danielcalencar/ra-szz, https://github.com/danielcalencar/ma-szz,https://github.com/danielcalencar/raszzprime;;
Fault detection and prediction in an open-source software project;M English, C Exton, B Cleary;;;;
Examining the impact of self-admitted technical debt on software quality;S Wehaibi, E Shihab, L Guerrouj;;;;
Are fix-inducing changes a moving target? a longitudinal case study of just-in-time defect prediction;S McIntosh, Y Kamei;;;;
Training on errors experiment to detect fault-prone software modules by spam filter;O Mizuno;;;;
Predicting software defects with causality tests;MT Valente, RS Bigonha;;;;
Micro pattern evolution;S Kim, EJ Whitehead Jr;;;;
Reproducibility and credibility in empirical software engineering: A case study based on a systematic literature review of the use of the szz algorithm;G Rodríguez-Pérez, G Robles;;;;
An automatic method for assessing the versions affected by a vulnerability;S Dashevskyi, F Massacci;;;;
HATARI: raising risk awareness;T Zimmermann, A Zeller;;;;
Studying high impact fix-inducing changes;E Shihab, Y Kamei;;;;
Mining software repositories for accurate authorship;X Meng, BP Miller, WR Williams;;;;
Correlations between bugginess and time-based commit characteristics;J Eyolfson, L Tan, P Lam;;;;
Why software repositories are not used for defect-insertion circumstance analysis more often: A case study;L Prechelt;;;;
Buginnings: identifying the origins of a bug;S Sinha;;;;
The technical debt dataset;V Lenarduzzi, N Saarimäki, D Taibi;;https://github.com/clowee/OpenSZZ;;
Comparing text‐based and dependence‐based approaches for determining the origins of bugs;M Roper;;;;
